identifier, premises_name, premises_number, premises_category, application_date, psu_registration_number, supervising_pharmacist, district, region, street_or_road
1425, ROYAL PHARMA 2010 LTD-KABALE, NDA/PRE/RTP/0675, Retail Pharmacy, 11/12/2017, 792, DERRICK KASOZI, Kabale, South Western Region - Mbarara, KABALE ROAD
1426, ROYAL PHARMA 2010 LTD-KABALE, NDA/PRE/WHP/0677, Wholesale Pharmacy, 11/12/2017, 792, DERRICK KASOZI, Kabale, South Western Region - Mbarara, KABALE ROAD
1427, ROYAL PHARMA 2011 LIMITED, NDA/PRE/WHP/0130, Wholesale Pharmacy, 15/10/2018, 892, MBAZIIRA NYAKANA, KAMPALA, Central Region - Nakawa, Ben Kiwanuka Strt
1428, ROYAL PHARMA 2011 LIMITED, NDA/PRE/WHP/0407, Wholesale Pharmacy, 31/10/2017, 590, Laban Kittata, KAMPALA, Central Region - Nakawa, Wilson Street
1429, ROYAL PHARMA 2011 LIMITED, NDA/PRE/WHP/0956, Wholesale Pharmacy, 22/10/2018, 1190, ISHMAEL ISIRIKA, KAMPALA, Central Region - Nakawa, ARUA PARK
1430, ROYAL PHARMA 2011 LIMITED, NDA/PRE/WHP/1370, Wholesale Pharmacy, 15/10/2018, 321, TWIKIRIZE GAD, KAMPALA, Central Region - Nakawa, Johnston Street
1431, ROYAL PHARMA 2011 LIMITED, NDA/PRE/WHP/2576, Wholesale Pharmacy, 17/10/2018, 1131, SANDRA MIREMBE, KAMPALA, Central Region - Nakawa, WILSON LANE
1432, ROYAL PHARMA 2011 LTD, NDA/PRE/EXT/3132, External Store, 18/12/2017, 590, Laban Kittata, KAMPALA, Central Region - Nakawa, WILSON ROAD
1433, ROYAL PHARMA 2011 LTD, NDA/PRE/EXT/3400, External Store, 12/04/2018, 590, Laban Kittata, KAMPALA, Central Region - Nakawa, MARTIN ROAD
1434, Royal Pharma 2011 Ltd, NDA/PRE/RTP/0408, Retail Pharmacy, 11/12/2017, 1113, ELTON MUKAMA, KAMPALA, Central Region - Nakawa, Wilson Road
1435, ROYAL PHARMA 2011 LTD, NDA/PRE/RTP/1033, Retail Pharmacy, 05/04/2018, 632, ISMAIL SENKUNGU, Jinja, South Eastern Region - Jinja, NIZAM ROAD
1436, Royal Pharma 2011 Ltd, NDA/PRE/RTP/1560, Retail Pharmacy, 06/12/2017, 1143, Nakate Caroline, KAMPALA, Central Region - Nakawa, William Street
1437, ROYAL PHARMA 2011 LTD, NDA/PRE/WHP/1036, Wholesale Pharmacy, 05/04/2018, 632, ISMAIL SENKUNGU, Jinja, South Eastern Region - Jinja, NIZAM ROAD
1438, Royal Pharma 2011 Ltd, NDA/PRE/WHP/1561, Wholesale Pharmacy, 07/12/2017, 1143, Nakate Caroline, KAMPALA, Central Region - Nakawa, William Street
1439, Royal Pharma 2011 Ltd, NDA/PRE/WHP/2270, Wholesale Pharmacy, 06/12/2017, 590, Laban Kittata, KAMPALA, Central Region - Nakawa, William Street
1440, Royal Pharma 2011 Ltd, NDA/PRE/WHP/2280, Wholesale Pharmacy, 16/01/2018, 625, Brian Arinaitwe, KAMPALA, Central Region - Nakawa, WILLIAM STREET
1441, Royal Pharma 2011 Ltd, NDA/PRE/WHP/2088, Wholesale Pharmacy, 12/12/2017, 547, Potti  Mohan, KAMPALA, Central Region - Nakawa, Nateete
1442, Royal Pharma 2011 Ltd-Lira, NDA/PRE/RTP/1946, Retail Pharmacy, 10/12/2017, 889, Charles Lwanga, Lira, Northern Region - Lira, Bala-Oyam Rd
1443, Royal Pharma 2011 Ltd-Lira, NDA/PRE/WHP/1945, Wholesale Pharmacy, 10/12/2017, 889, Charles Lwanga, Lira, Northern Region - Lira, Bala-Oyam Rd
1444, Ruby Pharmacy Ltd, NDA/PRE/RTP/0149, Retail Pharmacy, 08/12/2017, 634, WAJEGA NATHAN, KAMPALA, Central Region - Nakawa, Mobuto Rd
1445, RUMARONS GENERAL DEALERS LTD, NDA/PRE/RTP/2828, Retail Pharmacy, 09/01/2018, 766, RONALD SSERUNJOJI, KAMPALA, Central Region - Nakawa, KITEEZI ROAD
1446, RUSUM PHARMACY, NDA/PRE/RTP/3433, Retail Pharmacy, 26/04/2018, 1175, JAMES ATWINE, WAKISO, Central Region - Nakawa, KIREKA-KAMULI RD
1447, RUTH HEALTH PHARMACY, NDA/PRE/RTP/3526, Retail Pharmacy, 11/06/2018, 1207, LILIAN KISAKYE, WAKISO, Central Region - Nakawa, ENTEBBE ROAD
1448, RUTY PHARMACY LTD, NDA/PRE/RTP/0217, Retail Pharmacy, 10/11/2017, 832, Jackie Babirye, KAMPALA, Central Region - Nakawa, Naguru Hill
1449, RWEBIKOONA PHARMACY, NDA/PRE/RTP/0593, Retail Pharmacy, 04/12/2017, 786, GERALD MUSINGUZI, Mbarara, South Western Region - Mbarara, FORT POERTAL ROAD
1450, RWEBISENGO PHARMACY, NDA/PRE/RTP/3462, Retail Pharmacy, 09/05/2018, 1237, Flavia Nannungi, Ntoroko, Western Region - Hoima, Ntoroko road
1451, RWIMI PHARMACY-SMC LTD, NDA/PRE/WHP/3461, Wholesale Pharmacy, 09/05/2018, 1237, Flavia Nannungi, BUNYANGABU, Western Region - Hoima, KASESE RD
1452, Rwotomio Pharmacy, NDA/PRE/RTP/1736, Retail Pharmacy, 03/01/2018, 1039, JULIOUS ONYANGO, Apac, Northern Region - Lira, Hospital Rd
1453, RWOTOMIO PHARMACY LTD., NDA/PRE/WHP/2927, Wholesale Pharmacy, 08/01/2018, 1112, JACOB ENGURA, Kiryandongo, Western Region - Hoima, KUGUMBA TOWN COUNCIL
1454, S S S DENTAL LABORATORY PVT LTD, NDA/PRE/MDV/3750, Medical Devices, 04/10/2018, 13637, MAXWELL EKWEE, KAMPALA, Central Region - Nakawa, BUYE ROAD
1455, S.K.V CENTRAL -MED (E.A ) LTD, NDA/PRE/MDV/3268, Medical Devices, 14/02/2018, N/A, JOSHUA BWAMBALE, KAMPALA, Central Region - Nakawa, WILSON RD
1456, SA & EM PHARMACY, NDA/PRE/WHP/1076, Wholesale Pharmacy, 30/12/2017, 596, DAVID KARENYE, KAGADI, Western Region - Hoima, MARKET STREET
1457, SAFE CARE PHARMACY - Mbale, NDA/PRE/RTP/2701, Retail Pharmacy, 11/04/2018, 1187, TRINITY ENGORU, MBALE, Eastern Region - Tororo, MANAFWA ROAD
1458, SAFE STAR PHARMACY LIMITED, NDA/PRE/WHP/1070, Wholesale Pharmacy, 03/01/2018, 712, JOSEPH OGADA, MUBENDE, Western Region - Hoima, Street
1459, Safelink Phamacy, NDA/PRE/RTP/2545, Retail Pharmacy, 19/01/2018, 652, KENNETH REMEMBER, LUWERO, Central Region - Nakawa, Luweero
1460, Safescript Pharmaceuticals Ltd, NDA/PRE/RTP/1218, Retail Pharmacy, 20/11/2017, 784, AGNES GUDOI, KAMPALA, Central Region - Nakawa, Kiwatule Road
1461, SAFESCRIPT PHARMACY LTD - Mbale, NDA/PRE/RTP/1094, Retail Pharmacy, 07/08/2018, 1286, PAUL MIRONDO, MBALE, Eastern Region - Tororo, SSAIMA COMPLEX
1462, SafeWay Pharmacy (2003) Ltd, NDA/PRE/RTP/1358, Retail Pharmacy, 08/08/2018, 1303, GEORGE ZZIWA, KAMPALA, Central Region - Nakawa, Ben Kiwanuka Street
1463, SAI PHARMACY & COSMETICS, NDA/PRE/RTP/1541, Retail Pharmacy, 25/01/2018, 1123, IVAN KAYE, WAKISO, Central Region - Nakawa, Kabaka's Lane
1464, Saint Pharmacy, NDA/PRE/RTP/1003, Retail Pharmacy, 27/11/2017, 446, MONICA NAGAWA, WAKISO, Central Region - Nakawa, Entebbe Rd
1465, Saithmed Uganda Ltd, NDA/PRE/MDV/2278, Medical Devices, 27/08/2018, 124237, Richard Muniraguha, KAMPALA, Central Region - Nakawa, Rubaga Road
1466, SAJDA PHARMACY, NDA/PRE/RTP/3665, Retail Pharmacy, 17/09/2018, 1025, George Munigo, KAMPALA, Central Region - Nakawa, Mengo, Kisenyi
1467, Salama Pharmaceuticals Ltd, NDA/PRE/WHP/0519, Wholesale Pharmacy, 28/11/2017, 1007, JAMES JIBI, LWENGO, Central Region - Nakawa, Mbarara Highway
1468, SALIENT PHARMACY, NDA/PRE/RTP/2798, Retail Pharmacy, 30/04/2018, 1268, NELSON WAMAKUYU, WAKISO, Central Region - Nakawa, MITYANA
1469, Samaria Pharmacy, NDA/PRE/RTP/0351, Retail Pharmacy, 09/11/2017, 956, Victor Bewayo, KAMPALA, Central Region - Nakawa, Gayaza Rd
1470, Samaritan Healthcare Pharmacy, NDA/PRE/RTP/1710, Retail Pharmacy, 10/01/2018, 662, Kabbale Johnny, KAMPALA, Central Region - Nakawa, Mwanga II Rd
1471, Samiha's Pharmacy, NDA/PRE/RTP/1200, Retail Pharmacy, 21/12/2017, 885, DERRICK KIIRYA, WAKISO, Central Region - Nakawa, Masaka Rd
1472, SAMUEL MCWILLIAM INVESTMENTS LTD, NDA/PRE/MDV/3501, Medical Devices, 31/05/2018, 23667, GEOFFREY MWESIGWA, KAMPALA, Central Region - Nakawa, WILSON ROAD
1473, SAMULON PHARMACY LTD, NDA/PRE/RTP/1273, Retail Pharmacy, 10/11/2017, 938, BABRA MUSUBIKA, TORORO, Eastern Region - Tororo, Market Street
1474, SANUGIT LIMITED, NDA/PRE/MDV/2246, Medical Devices, 18/12/2017, 4120120110, Curtale Filippo, KAMPALA, Central Region - Nakawa, Gogonya Road
1475, Sanyu 2014 Pharmacy, NDA/PRE/WHP/0872, Wholesale Pharmacy, 16/11/2017, 920, PATRICK MISINDE, Kaliro, South Eastern Region - Jinja, Zibondo Road
1476, SATYA HEALTHCARE (U) LTD, NDA/PRE/MDV/2711, Medical Devices, 20/11/2017, 12055, KULISOMA LYDIA, KAMPALA, Central Region - Nakawa, WILSON ROAD
1477, SBK Pharmacy, NDA/PRE/RTP/2124, Retail Pharmacy, 27/04/2018, 1098, ANEES KAJA, Mukono, South Eastern Region - Jinja, Kampala - Jinja HighWay
1478, SCIENCE & BIOTECHNOLOGY SUPPORT SYSTEMS LIMITED, NDA/PRE/MDV/2513, Medical Devices, 26/12/2017, 14361, TITUS TUGUME, KAMPALA, Central Region - Nakawa, MUYENGA
1479, Scopevet Developments Ltd, NDA/PRE/WHP/0088, Wholesale Pharmacy, 23/10/2017, 703, Francis Oboi, KAMPALA, Central Region - Nakawa, Nakivubo Place
1480, Sek Pharmacy Limited, NDA/PRE/RTP/1217, Retail Pharmacy, 31/10/2017, 993, CHRISTOPHER SEKANDI, KAMPALA, Central Region - Nakawa, Bukasa Rd
1481, SEKALALA LIMITED, NDA/PRE/WHP/0091, Wholesale Pharmacy, 05/07/2018, 686, UMAR KAGOMBE, KAMPALA, Central Region - Nakawa, Old Kampala
1482, Sekalala Ltd, NDA/PRE/EXT/2316, External Store, 09/02/2018, 441, RONALD KIGUBA, KAMPALA, Central Region - Nakawa, Old Kampala
1483, SENA PHARMACY, NDA/PRE/RTP/0295, Retail Pharmacy, 11/04/2018, 1159, TWAHA MUWANGA, KAMPALA, Central Region - Nakawa, Banda
1484, Senna Pharmacy Ltd, NDA/PRE/RTP/0644, Retail Pharmacy, 03/01/2018, 416, JOSEPH LUBEGA, KAMPALA, Central Region - Nakawa, Najjera Rd
1485, SEV PHARMACEUTICALS LIMITED, NDA/PRE/PMB/2381, Pharmaceutical Manufacturer B, 13/11/2017, 338, VENIE NAMUWAWU, KAMPALA, Central Region - Nakawa, MASAKA ROAD
1486, Sev Pharmaceuticals Ltd, NDA/PRE/RTP/0426, Retail Pharmacy, 23/11/2017, 337, Ssemango Patrick, KAMPALA, Central Region - Nakawa, NATEETE
1487, SGM Plus Pharmacy Ltd, NDA/PRE/RTP/0356, Retail Pharmacy, 08/12/2017, 690, Aida Nakayiwa, KAMPALA, Central Region - Nakawa, Namugongo Rd
1488, SHAFRANTO UGANDA LIMITED, NDA/PRE/WHP/0106, Wholesale Pharmacy, 08/11/2017, 807, GRACE AKUMU, WAKISO, Central Region - Nakawa, Kasangati
1489, Shalom Life Care Pharmacy, NDA/PRE/RTP/0762, Retail Pharmacy, 07/11/2017, 870, Ibrahim Asiku, KAMPALA, Central Region - Nakawa, Mulago
1490, Shalom pharmacy, NDA/PRE/RTP/3599, Retail Pharmacy, 19/07/2018, 1300, JohnMary Turyatunga, Bundibugyo, Western Region - Hoima, Thaddeo kallisa
1491, SHASHI PHARMACY, NDA/PRE/WHP/1059, Wholesale Pharmacy, 08/08/2018, 1288, IBRAHIM MWIDU, Kasese, South Western Region - Mbarara, Rwenzori Road
1492, SHAVANS PHARMACEUTICALS, NDA/PRE/WHP/2674, Wholesale Pharmacy, 18/09/2018, 1301, MARSDEN WAGUBI, Bugiri, South Eastern Region - Jinja, GRANT STREET
1493, SHAYONA PHARMACEUTICALS LIMITED, NDA/PRE/WHP/3418, Wholesale Pharmacy, 19/04/2018, 1127, DAN KUGUMINKIRIZA, LWENGO, Central Region - Nakawa, KAMPALA - MBARARA HIGHWAY
1494, SHAYONA PHARMACEUTICALS LTD, NDA/PRE/WHP/1259, Wholesale Pharmacy, 16/01/2018, 598, JUMA FREDRICK, MBALE, Eastern Region - Tororo, Cathedral Avenue
1495, SHAYONA PHARMACEUTICALS LTD., NDA/PRE/WHP/1997, Wholesale Pharmacy, 17/10/2017, 970, FRANK MATOVU, Kyenjojo, Western Region - Hoima, KAMPALA ROAD
1496, Shayona Pharmacy- Kasese, NDA/PRE/WHP/2138, Wholesale Pharmacy, 17/10/2017, 970, FRANK MATOVU, Kasese, South Western Region - Mbarara, Margherita Street
1497, Sherry Pharmacy, NDA/PRE/RTP/1344, Retail Pharmacy, 13/11/2017, 490, JONATHAN MUGADU, WAKISO, Central Region - Nakawa, Entebe Rd
1498, SHIFA CHEMIST LTD - KABALE, NDA/PRE/WHP/0608, Wholesale Pharmacy, 28/12/2017, 1058, JERIOTH AMWESIGA, Kabale, South Western Region - Mbarara, Kabale Rd
1499, SHIFA CHEMIST LTD-MBAGUTA STREET, NDA/PRE/WHP/0847, Wholesale Pharmacy, 20/11/2017, 726, DEREK KAMULEGEYA, Mbarara, South Western Region - Mbarara, MBAGUTA STREET
1500, SHIFA CHEMISTS LTD, NDA/PRE/RTP/0749, Retail Pharmacy, 25/04/2018, 1180, FRANCIS BAGAMBE, Ibanda, South Western Region - Mbarara, Kamwenge Rd
1501, SHIFA CHEMISTS LTD, NDA/PRE/RTP/0759, Retail Pharmacy, 17/08/2018, 1297, ERIAB SEKATAWA, Ibanda, South Western Region - Mbarara, Kamwenge Rd
1502, SHIFA CHEMISTS LTD, NDA/PRE/WHP/0666, Wholesale Pharmacy, 15/12/2017, 978, JOANITA NAKALINZI, Mbarara, South Western Region - Mbarara, HIGH STREET
1503, SHIFA CHEMISTS LTD, NDA/PRE/WHP/0748, Wholesale Pharmacy, 15/11/2017, 749, LINUS ATUGONZA, Ibanda, South Western Region - Mbarara, Kamwenge Rd
1504, SHIFA CHEMISTS LTD, NDA/PRE/WHP/0755, Wholesale Pharmacy, 31/08/2018, 1277, ILAHI MARIAM, Mbarara, South Western Region - Mbarara, HIGH STREET
1505, Shifa Chemists Ltd, NDA/PRE/WHP/0901, Wholesale Pharmacy, 21/11/2017, 848, Hadijja Namwase, KAMPALA, Central Region - Nakawa, William Street
1506, SHIFA CHEMISTS LTD - KABALE, NDA/PRE/RTP/0610, Retail Pharmacy, 30/12/2017, 1064, Michael Kasozi, Kabale, South Western Region - Mbarara, Kabale Rd
1507, SHIFA CHEMISTS LTD-MBAGUTA STREET, NDA/PRE/RTP/0848, Retail Pharmacy, 05/01/2018, 1053, MOSES ODUR, Mbarara, South Western Region - Mbarara, Mbaguta Street
1508, SHIFA CHEMISTS LTD-MBARARA, NDA/PRE/RTP/0664, Retail Pharmacy, 01/01/2018, 1063, Daniel Kalya, Mbarara, South Western Region - Mbarara, HIGH STREET
1509, Shifa Super Pharma (U) Ltd, NDA/PRE/WHP/0866, Wholesale Pharmacy, 06/03/2018, 586, John Kyalimpa, Iganga, South Eastern Region - Jinja, Saza Road
1510, SHIKA PHARMA LTD, NDA/PRE/MDV/2305, Medical Devices, 11/12/2017, 18826M, EDMOND AINEBYONA, KAMPALA, Central Region - Nakawa, Luzira Commercial Park
1511, SHILOH PHARMACY, NDA/PRE/RTP/1228, Retail Pharmacy, 30/04/2018, 459, JOSEPH SEMAKULA, KAMPALA, Central Region - Nakawa, Buwambo Rd
1512, Shiloh Pharmacy, NDA/PRE/RTP/2195, Retail Pharmacy, 30/04/2018, 459, JOSEPH SEMAKULA, WAKISO, Central Region - Nakawa, Nangabo Rd
1513, Shreehari Pharmacy, NDA/PRE/RTP/0368, Retail Pharmacy, 05/06/2018, 1003, Annet Naluwuge, KAMPALA, Central Region - Nakawa, RUBAGA ROAD
1514, SHREEJI PHARMACEUTICALS LIMITED, NDA/PRE/WHP/0097, Wholesale Pharmacy, 11/10/2017, 437, HUSSEIN ORIA, KAMPALA, Central Region - Nakawa, Kyaggwe Rd
1515, SHREEJI PHARMACEUTICALS LTD- MITYANA, NDA/PRE/WHP/1154, Wholesale Pharmacy, 17/10/2017, 704, JULIUS KAMUKAMA, MITYANA, Western Region - Hoima, KAMPALA ROAD
1516, SHREEJI PHARMACEUTICALS LTD- MUBENDE, NDA/PRE/WHP/1168, Wholesale Pharmacy, 17/10/2017, 954, ANDREW BASERENO, MUBENDE, Western Region - Hoima, KAMPALA ROAD
1517, SHREEJI PHARMACEUTICALS LTD, MITYANA, NDA/PRE/RTP/1155, Retail Pharmacy, 05/01/2018, 704, JULIUS KAMUKAMA, MITYANA, Western Region - Hoima, KAMPALA ROAD
1518, Shubh Pharmacy, NDA/PRE/RTP/0763, Retail Pharmacy, 24/01/2018, 944, HASSAN LULE, KAMPALA, Central Region - Nakawa, Ttula Rd
1519, Shurik Limited, NDA/PRE/RTP/1360, Retail Pharmacy, 16/10/2017, 236, Richard Adome, KAMPALA, Central Region - Nakawa, Kamapala Road
1520, Shurik Ltd, NDA/PRE/EXT/2288, External Store, 01/11/2017, 236, Richard Adome, KAMPALA, Central Region - Nakawa, Kampala Road
1521, Shurik Ltd, NDA/PRE/EXT/2290, External Store, 01/11/2017, 236, Richard Adome, KAMPALA, Central Region - Nakawa, Dewinton Road
1522, SHURIK LTD, NDA/PRE/WHP/1359, Wholesale Pharmacy, 18/10/2017, 236, Richard Adome, KAMPALA, Central Region - Nakawa, Kampala Road
1523, Shurik Ltd - Store 2, NDA/PRE/EXT/2289, External Store, 01/11/2017, 236, Richard Adome, KAMPALA, Central Region - Nakawa, Kampala Rd
1524, Silicon Pharmacy, NDA/PRE/RTP/0444, Retail Pharmacy, 28/11/2017, 454, SWAIBU MUKIIBI, KAMPALA, Central Region - Nakawa, Entebbe Rd
1525, SILVA INVESTMENT CO. LTD, NDA/PRE/RTP/2139, Retail Pharmacy, 10/12/2017, 1116, JOHN ISIIKO, Mbarara, South Western Region - Mbarara, Mall
1526, Silva Investment Co. Ltd, NDA/PRE/WHP/3157, Wholesale Pharmacy, 22/12/2017, 1116, JOHN ISIIKO, Mbarara, South Western Region - Mbarara, Mosque Rd
1527, SILVA INVESTMENTS LTD, NDA/PRE/WHP/2532, Wholesale Pharmacy, 26/11/2017, 978, JOANITA NAKALINZI, Mbarara, South Western Region - Mbarara, ZABANDURA STREET
1528, Silver Backs Pharmacy - Forest Mall, NDA/PRE/RTP/0770, Retail Pharmacy, 10/01/2018, 925, Edwin Bamugye, KAMPALA, Central Region - Nakawa, Spring Rd
1529, SILVER PHARMACY AND COSMETICS LTD, NDA/PRE/WHP/1032, Wholesale Pharmacy, 16/01/2018, 953, John Bamweyana, Mukono, South Eastern Region - Jinja, Exit
1530, SIMJOY PHARMACEUTICALS, NDA/PRE/RTP/1977, Retail Pharmacy, 21/12/2017, 607, Baryeija Simon, Buikwe, South Eastern Region - Jinja, Kampala - Jinja Highway
1531, Sino Africa Medical Devices Co. Ltd, NDA/PRE/MDV/2227, Medical Devices, 19/12/2017, 205187, Imelda Atwiine, KAMPALA, Central Region - Nakawa, 2nd Ring Road
1532, SINO AFRICA MEDICINES & HEALTH LTD, NDA/PRE/WHP/1470, Wholesale Pharmacy, 13/11/2017, 973, BRYAN MUKIIBI, KAMPALA, Central Region - Nakawa, 5th Street
1533, Sinoafrica Medicines & Health Ltd, NDA/PRE/EXT/2348, External Store, 13/11/2017, 973, Oscar Mukiibi, KAMPALA, Central Region - Nakawa, 5th Street, Industrial Area
1534, SKAILAB SUPPLIES (EA) LIMITED, NDA/PRE/MDV/2724, Medical Devices, 18/01/2018, 2417, MUGISHA KENNETH, KAMPALA, Central Region - Nakawa, None
1535, Skapharm Pharmaceuticals Ltd, NDA/PRE/RTP/1427, Retail Pharmacy, 03/04/2018, 1256, JOSEPH SENTOGO, KAMPALA, Central Region - Nakawa, KAWEMPE DIVISION
1536, SKY PHARMACY LTD, NDA/PRE/WHP/1236, Wholesale Pharmacy, 30/11/2017, 254, JOHN OKELLO, MBALE, Eastern Region - Tororo, REPUBLIC STREET
1537, Smart Pharmacy, NDA/PRE/RTP/0511, Retail Pharmacy, 08/12/2017, 702, GEOFREY MUSANJE, KAMPALA, Central Region - Nakawa, Bulenga
1538, Smart Pharmacy, NDA/PRE/RTP/0533, Retail Pharmacy, 08/12/2017, 702, Geofrey Musanje, KAMPALA, Central Region - Nakawa, Kiwatule Rd
1539, SMILE PHARMACY, NDA/PRE/RTP/0852, Retail Pharmacy, 07/12/2017, 1166, JOHN NINKUSIIMA, Kamwenge, South Western Region - Mbarara, Railway Station Way Rd
1540, Smile Pharmacy, NDA/PRE/RTP/1474, Retail Pharmacy, 30/04/2018, 1265, EVERCE MAGYEZI, WAKISO, Central Region - Nakawa, TRADING CENTRE
1541, SMILE PHARMACY, NDA/PRE/RTP/2609, Retail Pharmacy, 26/04/2018, 1229, Caroline  Nabisere, KAMPALA, Central Region - Nakawa, SIR APPOLLO KAGWA RD
1542, SMJ Pharmacy, NDA/PRE/RTP/0076, Retail Pharmacy, 02/11/2017, 649, EDWIN BBOSA, WAKISO, Central Region - Nakawa, Mityana Road
1543, Sobiyoyoda Pharmaceuticals Ltd, NDA/PRE/WHP/1346, Wholesale Pharmacy, 07/12/2017, 1075, RHONA  MUYISE, KAMPALA, Central Region - Nakawa, Kibuli - Kabalagala Rd
1544, SOKI PHARMACY BUGEMBE, NDA/PRE/RTP/0269, Retail Pharmacy, 30/11/2017, 681, MAGOMBE GEOFREY, Jinja, South Eastern Region - Jinja, Bugembe
1545, Soki Pharmacy Ltd, NDA/PRE/RTP/0756, Retail Pharmacy, 07/11/2017, 870, Ibrahim Asiku, KAMPALA, Central Region - Nakawa, Makindye
1546, SOLENE PHARMACEUTICALS LTD, NDA/PRE/WHP/0771, Wholesale Pharmacy, 29/11/2017, 1090, ANDREW SEMUYABA, Kasese, South Western Region - Mbarara, Margherita Street
1547, Sona Pharmaceuticals Kampala, NDA/PRE/RTP/0826, Retail Pharmacy, 08/01/2018, 524, BRUHAN KAGGWA, KAMPALA, Central Region - Nakawa, Trading Center
1548, Sona Pharmaceuticals Ltd, NDA/PRE/WHP/0827, Wholesale Pharmacy, 05/12/2017, 958, John Byaruhanga, KAMPALA, Central Region - Nakawa, Kyagwe Rd
1549, Sona Pharmaceuticals Ltd - Hoima, NDA/PRE/RTP/1146, Retail Pharmacy, 17/01/2018, 622, LEO ATWINE, Hoima, Western Region - Hoima, Fortportal Rd
1550, Sona Pharmaceuticals Ltd - Hoima, NDA/PRE/WHP/1147, Wholesale Pharmacy, 08/05/2018, 1114, MUJOMA MAWAZI, Hoima, Western Region - Hoima, MUGABI ROAD
1551, Sophie's Pharmacy, NDA/PRE/RTP/0056, Retail Pharmacy, 13/12/2017, 933, PHILIP MPAATA, WAKISO, Central Region - Nakawa, Hoima Rd
1552, Soteria Pharmacy, NDA/PRE/RTP/1706, Retail Pharmacy, 27/04/2018, 1070, Augustine Malinga, LUWERO, Central Region - Nakawa, Gulu Highway
1553, Span Medical Centre Pharmacy, NDA/PRE/RTP/0050, Retail Pharmacy, 12/11/2017, 717, Vicky Nyombi, KAMPALA, Central Region - Nakawa, Kisaasi Rd
1554, SPARTAN PHARMACY, NDA/PRE/WHP/1099, Wholesale Pharmacy, 24/11/2017, 410, PAKOYO FADHIRU, BUDAKA, Eastern Region - Tororo, MAIN ROAD
1555, SPARTAN PHARMACY - BUSOLWE, NDA/PRE/WHP/1796, Wholesale Pharmacy, 24/11/2017, 410, PAKOYO FADHIRU, BUTALEJA, Eastern Region - Tororo, Nagongera Rd
1556, Spectrum Pharmacy (U) Ltd, NDA/PRE/RTP/0791, Retail Pharmacy, 10/11/2017, 490, JONATHAN MUGADU, WAKISO, Central Region - Nakawa, Namboole Rd
1557, SPELA PHARMACY, NDA/PRE/RTP/0860, Retail Pharmacy, 04/01/2018, 680A, PETER BUZARE, Mbarara, South Western Region - Mbarara, High Street
1558, SPENCE PHARMACEUTICALS LTD, NDA/PRE/RTP/3559, Retail Pharmacy, 27/06/2018, 1274, DENIS CHEPTOEK, BUSIA, Eastern Region - Tororo, MAJANJI ROAD
1559, SPORTSMEDI TECHNOLOGY LIMITED, NDA/PRE/MDV/3566, Medical Devices, 02/07/2018, 29248, RAZZAQ SULAIMAN, KAMPALA, Central Region - Nakawa, KISASI-KYANJA ROAD
1560, SPRING PHARMACY, NDA/PRE/RTP/2895, Retail Pharmacy, 16/01/2018, 646, KAKEETO BLAIR, KAMPALA, Central Region - Nakawa, Kisaasi Road
1561, SPRING PHARMACY LIMITED, NDA/PRE/WHP/0923, Wholesale Pharmacy, 07/11/2017, 413, David Ekau, KAMPALA, Central Region - Nakawa, Wilson Rd
1562, Spring Pharmacy Ltd, NDA/PRE/RTP/0376, Retail Pharmacy, 27/11/2017, 593, JULIET NABUDADIRI, KAMPALA, Central Region - Nakawa, Kiwatule Rd
1563, Spring Pharmacy Ltd, NDA/PRE/RTP/0925, Retail Pharmacy, 07/11/2017, 413, David Ekau, KAMPALA, Central Region - Nakawa, Wilson Rd
1564, SSAJJABI VET PHARMACY, NDA/PRE/RTP/1916, Retail Pharmacy, 02/05/2018, 1235, HERMAN MAYENGO, Rakai, South Western Region - Mbarara, Old Bukoba Rd
1565, Ssera Pharmacy Uganda Limited, NDA/PRE/RTP/0549, Retail Pharmacy, 31/01/2018, 404, Sakwa Rebecca, KAMPALA, Central Region - Nakawa, Kawaala Rd
1566, SSINGO PHARMACEUTICALS LIMITED, NDA/PRE/WHP/0905, Wholesale Pharmacy, 31/10/2017, 810, AMIR WAMALA, MITYANA, Western Region - Hoima, TRADING CENTRE
1567, ST JUDE ELECRTICAL AND MEDICAL EQUIPMENT WORKSHOP LTD, NDA/PRE/MDV/1869, Medical Devices, 18/10/2017, 177830, Collins Lubyayi, KAMPALA, Central Region - Nakawa, Rubaga Rd
1568, St Jude Pharmacy, NDA/PRE/RTP/0219, Retail Pharmacy, 29/11/2017, 461, ABBEY MUKASA, KAMPALA, Central Region - Nakawa, Entebbe Rd
1569, St Jude Pharmacy, NDA/PRE/RTP/1626, Retail Pharmacy, 16/11/2017, 624, Timothy Kabonero, KAMPALA, Central Region - Nakawa, Rubaga Division
1570, ST JUDE ROYAL PHARMACY LTD - Mbale, NDA/PRE/WHP/2050, Wholesale Pharmacy, 01/06/2018, 1190, ISHMAEL ISIRIKA, MBALE, Eastern Region - Tororo, BISHOP WASIKE ROAD
1571, ST. ELIZA HEALTH CARE SERVICES, NDA/PRE/RTP/0483, Retail Pharmacy, 10/01/2018, 778, YUSUF LULE, WAKISO, Central Region - Nakawa, INSIDE JURIZI SUPERMAKET
